Rank,Name,Country,Sector,Absolute growth rate (%),Compound annual growth rate (%),Revenue 2023 (€),Revenue 2020 (€),Number of employees 2023,Number of employees 2020,Founding year
1,Menlo Electric,Poland,Energy & Utilities,"80,538.1",830.8,"150,670,601","186,848",149,8,2020
2,Allica,UK,"Fintech, Financial Services & Insurance","42,422.6",652,"100,125,351","228,102",502,142,2019
3,Almedia,Germany,Advertising & Marketing,"18,773.2",473.6,"29,440,571","155,991",24,1,2020
4,Olla Home Solution,Italy,Construction & Engineering,"15,886.5",442.7,"89,632,718","560,677",12,1,2020
5,Raya,Italy,Wholesale,"13,106.7",409.3,"146,456,719","1,108,961",2,2,2020
6,Alpha General Contractor,Italy,Construction & Engineering,"8,962.9",349.2,"59,657,294","658,258",114,3,2019
7,dieseo,Germany,Ecommerce,"8,895.4",348.1,"10,806,130","120,129",29,5,2020
8,Kempower,Finland,Electrical Manufacturing,"8,620.8",343.5,"283,600,000","3,252,000",737,38,2017
9,Cykero,Germany,Waste management & recycling,"8,520.7",341.8,"12,500,000","145,000",12,1,2020
10,Viridis Group,Italy,Construction & Engineering,"8,081.9",334.1,"18,515,952","226,304",40,10,2015
11,Zilch,UK,"Fintech, Financial Services & Insurance","7,694.7",327.2,"65,900,278","819,020",239,34,2018
12,Chip,UK,"Fintech, Financial Services & Insurance","7,581.9",325.1,"17,419,664","219,673",114,58,2016
13,A1 Solar,Hungary,Energy & Utilities,"6,953.7",313.2,"10,251,970","153,609",20,1,2019
14,Pixii,Norway,Energy & Utilities,"6,621.7",306.6,"62,756,986","1,008,278",124,33,2018
15,Kleidi,France,Construction & Engineering,"6,343.6",300.9,"16,825,366","261,118",9,3,2019
16,Raylyst Solar,Czech Republic,Wholesale,"6,000.4",293.7,"90,825,137","1,401,112",27,2,2018
17,Venticento,Italy,Advertising & Marketing,"5,873.2",290.9,"6,414,664","107,390",14,10,2020
18,SourceWhale,UK,IT & Software,"5,373.6",279.7,"7,751,011","137,180",70,4,2019
19,Jackson Remediation,UK,Construction & Engineering,"5,362.1",279.4,"8,828,227","156,575",7,4,2019
20,Envidev Consulting,Italy,"Professional, Scientific & Technical Services","5,356.9",279.3,"9,549,646","175,000",1,1,2020
21,Pecci,Italy,Construction & Engineering,"5,211.4",275.9,"85,330,451","1,606,566",76,16,2011
22,RideTandem,UK,Logistics & Transportation,"4,861.6",267.5,"7,169,616","139,983",40,6,2019
23,BFY Group,UK,Management consulting,"4,812.8",266.2,"9,547,957","188,274",38,11,2004
24,Just Russel,Belgium,Ecommerce,"4,483.2",257.9,"8,908,507","194,373",29,2,2020
25,Pace,UK,Management consulting,"4,474.2",257.6,"9,975,736","211,269",46,3,2020
26,Switcho,Italy,"Fintech, Financial Services & Insurance","4,264.7",252.1,"6,009,454","137,683",77,9,2019
27,WithU,UK,Leisure & Entertainment,"4,036.3",245.8,"6,361,628","148,992",67,6,2019
28,Jeff,Latvia,"Fintech, Financial Services & Insurance","3,743.8",237.5,"6,641,553","155,982",30,7,2020
